name_ar,name_en,price,image,link
"بيكتول استحلاب للزور بالليمون والعسل | 1 شريط","Pectol Fresh (Lemon + Honey) | 1 Tab","25","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/pectol-fresh-lemonvitc-8tab-5njg-01669126134.png","https://chefaa.com/eg-ar/nowProduct/pectol-fresh-lemonvitc-8tab-5njg"
"اميجراويست 2.5 amigrawest tab برشام للصداع النصفي | 4 اقراص","Amigrawest for migraine 2.5mg | 4 Tabs","56","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/amigrawest-25mg-4tabs-qfxf-1641156776.png","https://chefaa.com/eg-ar/nowProduct/amigrawest-25mg-4tabs-qfxf"
"ديفارول اس 200000وحده دوليه /2مل | 1 امبول","Devarol-S 200.000 I.U / 2ml | 1 AMP","34","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/devarol-s-200000-iu-2-ml-sol-for-im-inj-1-amp-hziq-01670685123.png","https://chefaa.com/eg-ar/nowProduct/devarol-s-200000-iu-2-ml-sol-for-im-inj-1-amp-hziq"
"بانادول ادفانس 500 مجم باراسيتامول مسكن للألم بفاعلية | 48 قرص","Panadol | Advance Tablets for Fast Pain and Fever Treatment...","92","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panadol-advance-24-tablet-01757585228.png","https://chefaa.com/eg-ar/nowProduct/panadol-advance-24-tablet"
"مانوفيبركين بلس سبراي مخدر موضعي | 15 مل","Manovipercaine Plus | 10% Spray | 15 ml","56","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/manovipercaine-10-spray-15-ml-4l49-01699276439.png","https://chefaa.com/eg-ar/nowProduct/manovipercaine-10-spray-15-ml-4l49"
"كريم كارباميد للوجه والمنطقه الحساسة والقدم للجفاف والتفتيح...","Carbamide Urea 0.1gm/gm Topical Cream | 30gm","40","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/carbamide-cream-50-gm-01724026487.png","https://chefaa.com/eg-ar/nowProduct/carbamide-cream-50-gm"
"كيناكومب كريم للتسلخات وعلاج الالتهابات | 15جم","Kenacomb Cream | 15gm","36","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628594870kenacomb-cream-15gm-chefaajpeg","https://chefaa.com/eg-ar/nowProduct/kenacomb-cream-15-gm"
"كريم زنك اوليف للمنطقه الحساسة zinc olive cream | ٧٥ جم","Zinc Olive Topical Cream for Diaper Area | 75gm","80","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/zinc-olive-topical-cream-75-gm-01675162632.png","https://chefaa.com/eg-ar/nowProduct/zinc-olive-topical-cream-75-gm"
"كريم بانثينول للوجه والشعر مرطب فعال panthenol cream | ٥٠ جم","Panthenol Cream 2% | 50gm","80","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1594655177panthenol-cream-50gmjpg","https://chefaa.com/eg-ar/nowProduct/panthenol-cream-50-gm"
"إكتوميثرين 5 (بيرميثرين 5٪) للبالغين | 50مل","Ectomethrin 5% Lotion for Adults | 50ml","55","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628512021اكتوميثرين-5-بيرميثرين-5-للبالغين-50ملpng","https://chefaa.com/eg-ar/nowProduct/ectomethrin-5-lotion-for-adults-50ml-v1hp"
"حبوب فياجرا ٥٠ سيلدينافيل للرجال لضعف الانتصاب | 4 أقراص","Viagra | Sexual Problems 50mg | 4 Tabs","112","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/viagra-50-mg-01686657145.png","https://chefaa.com/eg-ar/nowProduct/viagra-50-mg"
"ليدوكايين سبراي بنج موضعي بخاخ لازالة الشعر وتأخير القذف | ...","Lidocaine | Spray 10% | 15ml","38","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/lidocaine-spray10-15ml-urwb-01690293358.png","https://chefaa.com/eg-ar/nowProduct/lidocaine-spray10-15ml-urwb"
"بريدوكايين كريم | 30جم","Pridocaine Cream | 30gm","55","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/pridocaine-cream-30-gm-7wg0-01720229894.png","https://chefaa.com/eg-ar/nowProduct/pridocaine-cream-30-gm-7wg0"
"مرهم ميبو للحروق والجروح mebo | ١٥ جم","Mebo | Ointment For Superficial Burns And Abrasions| 15gm","109","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628668245mebo-15gmjpeg","https://chefaa.com/eg-ar/nowProduct/mebo-ointment-15-gm"
"بانثينول كريم 2% | 20 جرام","Panthenol Cream 2% | 20gm","38","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panthenol-cream-2-20gm-dfsk-01748250123.png","https://chefaa.com/eg-ar/nowProduct/panthenol-cream-2-20gm-dfsk"
"برشام فلاجيل 500 للالتهابات ومطهر معوي flagyl tablet | ٢٠ قرص","Flagyl Intestinal Antiseptic 500mg | 20 Tabs","34","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/flagyl-500-tablet-01721656290.png","https://chefaa.com/eg-ar/nowProduct/flagyl-500-tablet"
"لاميفين كريم 1٪ | 15 جم","Lamifen 1% | Cream | 15gm","18","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/lamifen-1-cream-15gm-tg5h-01668922631.png","https://chefaa.com/eg-ar/nowProduct/lamifen-1-cream-15gm-y3tg"
"الفينترن مضاد للالتهابات | 30 قرص","Alphintern Anti Inflammatory | 30 Tabs","87","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/alphintern-anti-inflammatory-30tab-bpuf-01673270729.png","https://chefaa.com/eg-ar/nowProduct/alphintern-anti-inflammatory-30tab-bpuf"
"اقراص كتافلام 50 مسكن للاسنان والصداع cataflam | ٢٠ قرص","Cataflam 50mg | 20 Tabs","86","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/cataflam-50-mg-tab-01723552610.png","https://chefaa.com/eg-ar/nowProduct/cataflam-50-mg-tab"
"اقراص سيالونج 20 مجم cialong لضعف الانتصاب | 4 أقراص","Cialong 20mg | 4 Tabs","60","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/cialong-20mg-4tabs-6wd9-01722460680.png","https://chefaa.com/eg-ar/nowProduct/cialong-20mg-4tabs-6wd9"
"برونشيكم أقراص استحلاب بنكهة النعناع لتخفيف اعراض الكحة | 2...","Bronchicum Lozenges Anti cough 100 mg Dietary Supplement fo...","90","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/bronchicum-anti-cough-100mg-20-lozenges-wn0x-01742214835.png","https://chefaa.com/eg-ar/nowProduct/bronchicum-anti-cough-100mg-20-lozenges-wn0x"
"أقراص تادالونج 20 مجم للانتصاب tadalong tab | ٤ أقراص","Tadalong Tadalafil 20mg | 4 Tabs","84","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/tadalong-20-mg-4-tab-7bzl-01724676907.png","https://chefaa.com/eg-ar/nowProduct/tadalong-20-mg-4-tab-7bzl"
"ميباكو برشام فوليك اسيد ٥٠٠ للحامل وصحة الشعر | 20 قرص","Folic Acid 500mcg | 20 Tabs (MEPACO)","20","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/folic-acid-mepaco-500-mcg-20-tabs-52ks-01736413470.png","https://chefaa.com/eg-ar/nowProduct/folic-acid-mepaco-500-mcg-20-tabs-52ks"
"تلفاست شراب للاطفال لأعراض البرد والحساسية بطعم التوت | 100مل","Telfast Allergy Non-Sedating | 100 ml Oral Suspension Raspb...","50","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/telfast-30mg-5ml-susp-100ml--01742218560.png","https://chefaa.com/eg-ar/nowProduct/telfast-30mg-5ml-susp-100ml-"
"دواء لاري برو استحلاب للزور والحلق للاحتقان والالتهاب | 20 قرص","Larypro to Treat Sore Throat | 20 Lozenges","44","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/lary-pro-20-lozenges-01686654584.png","https://chefaa.com/eg-ar/nowProduct/lary-pro-20-lozenges"
"اولفنت شراب للاطفال والكبار للكحة allvent syrup | ١٢٥ مل","All-Vent Syrup for Cough | 125ml","34","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1630931095all-vent-syrup-to-cough-125-mljpg","https://chefaa.com/eg-ar/nowProduct/all-vent-syrup-125-ml"
"كبسول ميباكو كروميوم للتخسيس مكمل غذائي | 20 كبسولة","Chromium 200mcg | 20 Caps","40","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/chromium-200mcg-20cap-nnho-01736411141.png","https://chefaa.com/eg-ar/nowProduct/chromium-200mcg-20cap-nnho"
"ماكرو بانثينول كريم للبشرة الدهنية والجافة macro panthenol ...","Macro Panthenol | Cream | 50gm","60","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/macro-panthenol-cream-50-gm-01680176758.png","https://chefaa.com/eg-ar/nowProduct/macro-panthenol-cream-50-gm"
"فوار استيل سستايين 600 مذيب وطارد للبلغم | 10 أكياس","Acetylcistein | To Treat Bronchitis Effervescent Bags 600ml...","70","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1630999764acetylcistein-to-treat-bronchitis-effervescent-bags-600mljpg","https://chefaa.com/eg-ar/nowProduct/acetylcistein-600mg-sachets"
"مرهم فاكتو للبواسير والناسور والشرخ faktu ointment | ٣٠ جم","Faktu Ointment For Internal and External Hemorrhoids | 30gm","76","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/faktu-ointment-30g-for-internal-and-external-haemorrhoids-01721634592.png","https://chefaa.com/eg-ar/nowProduct/faktu-ointment-30g-for-internal-and-external-haemorrhoids"
"أكريتين 0.025٪ كريم | 30جم","Acretin 0.025% Cream | 30gm","38","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/acretin-0025-cream-30-gm-jjad-01670783383.png","https://chefaa.com/eg-ar/nowProduct/acretin-0025-cream-30-gm-jjad"
"كونترابلان || 0.7مج | 4 قرص","Contraplan II 0.75mg | 4 Tabs","40","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/contraplanii-075mg-4tap-nrnv-01674466505.png","https://chefaa.com/eg-ar/nowProduct/contraplanii-075mg-4tap-nrnv"
"برشام ميلجا ادفانس للرجال والنساء للأعصاب milga advance | ٣...","Milga Advance | 30 Tabs","150","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/milga-advance-30tab-wqzn-11690285660.png","https://chefaa.com/eg-ar/nowProduct/milga-advance-30tab-wqzn"
"لونا | مستنشق يزيل احتقان الأنف","Luna | Canister Inhaler","15","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/luna-canister-inhaler-24pcs-ms3q-01699976531.png","https://chefaa.com/eg-ar/nowProduct/luna-canister-inhaler-24pcs-ms3q_duW0NZef"
"هيرو بيبي | اتش ايه لبن اطفال | 400جم","Hero Baby | HA Milk | 400gm","389","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hero-baby-ha-milk-400-gm-01724071888.png","https://chefaa.com/eg-ar/nowProduct/hero-baby-ha-milk-400-gm"
"لبن هيرو بيبي نيوتراديفنس 1 لتقوية المناعة | 400 جم","Hero Baby | Nutradefense 1 Milk | 400gm","349","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hero-baby-nutradefense-1-milk-400-gm-01724072245.png","https://chefaa.com/eg-ar/nowProduct/hero-baby-nutradefense-1-milk-400-gm"
"لبن هيرو بيبي نيوتراديفنس 2 لنمو صحى وتقوية المناعة | 400 جم","Hero Baby | Nutradefense 2 Milk | 400gm","349","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hero-baby-nutradefense-2-milk-400-gm-01713270740.png","https://chefaa.com/eg-ar/nowProduct/hero-baby-nutradefense-2-milk-400-gm"
"لبن هيرو بيبي 1 للرضع حتي 6 اشهر | 400جم","Hero Baby 1 Milk | 400gm","259","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hero-baby-1-milk-400-gm-01724071518.png","https://chefaa.com/eg-ar/nowProduct/hero-baby-1-milk-400-gm"
"لبن هيرو بيبي دايجست للمغص والامساك hero baby digest | ٤٠٠ جم","Hero Baby Digest Milk | 400gm","359","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hero-baby-digest-milk-400-gm-01724071778.png","https://chefaa.com/eg-ar/nowProduct/hero-baby-digest-milk-400-gm"
"لبن هيرو بيبي ال اف للحساسية تجاه سكر اللاكتوز | 400 جم","Hero Baby LF Milk | 400gm","356","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hero-baby-lf-milk-400-gm-01724071976.png","https://chefaa.com/eg-ar/nowProduct/hero-baby-lf-milk-400-gm"
"ابيليفاي مضاد للذهان 15مج | 10 اقراص","Abilify Antipsychotic 15mg | 10 Tabs","330.5","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/abilify-antipsychotic-15mg-10tab-d6qn-01665935688.png","https://chefaa.com/eg-ar/nowProduct/abilify-antipsychotic-15mg-10tab-d6qn"
"ابيليفاي مضاد للذهان 5مج | 10 اقراص","Abilify Antipsychotic 5mg | 10 Tabs","134.5","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/abilify-antipsychotic-5mg-10tab-ogv8-01670340054.png","https://chefaa.com/eg-ar/nowProduct/abilify-antipsychotic-5mg-10tab-ogv8"
"أبيمول 300 ملجم | 5 أقماع","abimol 300mg | 5 supps","15","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/abimol-infant-300mg-5-suppositories-nynm-01672577662.png","https://chefaa.com/eg-ar/nowProduct/abimol-infant-300mg-5-suppositories-qgyd"
"أبيمول مسكن وخافض للحرارة 500مج | 20 قرص","Abimol Analgesic & Antipyretic 500mg | 20 Tabs","24","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1621861754abimol-analgesic-antipyretic-500mg-20-tab-chefaapng","https://chefaa.com/eg-ar/nowProduct/abimol"
"أبيمول أكسترا | مسكن وخافض للحرارة 500/30مج | 20 قرص","Abimol Extra | Analgesic & Antipyretic 500/30mg | 20 Tabs","28","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/abimol-extra-01675347350.png","https://chefaa.com/eg-ar/nowProduct/abimol-extra"
"أسيكزيما | كريم موضعي | 15جم","Aceczema | Topical Cream | 15gm","33","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aceczema-cream-15-gmb0nm-01735045932.png","https://chefaa.com/eg-ar/nowProduct/aceczema-cream-15-gmb0nM"
"استيل سستايين طارد للبلغم 200مج | 10 اكياس فوارة","Acetylcistein Expectorant 200mg | 10 Sach","55","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/acetylcysteine-expectorant-200mg-10sach-btnd-01721225978.png","https://chefaa.com/eg-ar/nowProduct/acetylcysteine-expectorant-200mg-10sach-btnd"
"أكتي كولا أدفانس | 10 كيس","Acti-Colla Advance | 10 Sachets","288","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/acti-colla-advance-10-sachets-lqkw-01668950055.png","https://chefaa.com/eg-ar/nowProduct/acti-colla-advance-10-sachets-edmz"
"أكتى كولا أدفانس | 30 كيس","Acti-Colla Advance | 30 Sachet","860","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/acticolla-advance-30-sachetstc3l-01747663968.png","https://chefaa.com/eg-ar/nowProduct/acticolla-advance-30-sachetsTc3l"
"اكتى كولا سي لعلاج التهاب وخشونة المفاصل | 10 أكياس","Acti-Colla C | 10 Sachets","288","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/acti-colla-c-10-sachets-viws-01686656088.png","https://chefaa.com/eg-ar/nowProduct/acti-colla-c-10-sachets-viws"
"أكياس اكتى كولا سي لعلاج التهاب وخشونة المفاصل | 30 كيس","Acti-Colla C | 30 Sachets","666","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/acti-colla-c-30-sachets-skkt-1643207790.png","https://chefaa.com/eg-ar/nowProduct/acti-colla-c-30-sachets-bzml"
"ادابالين جل مقشر للتفتيح وعلاج الحبوب والبقع الداكنة | 30 جم","Adapalene 0.1% Gel | 30gm","34","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/adapalene-gel-30-gm-6pio-01674981732.png","https://chefaa.com/eg-ar/nowProduct/adapalene-gel-30-gm-6pio"
"ادول | 500مج | 24 كبسولة","Adol | 500mg | 24 Caplets","32","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/adol-sinus-24-caplets-4zti-01678612271.png","https://chefaa.com/eg-ar/nowProduct/adol-sinus-24-caplets-4zti"
"ادويفلام | 75 ملجم | 6 أمبولات","Adwiflam | 75mg | 6 Ampules","72","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/adwiflam-75mg3ml-6-ampoules-tzhi-01721555119.png","https://chefaa.com/eg-ar/nowProduct/adwiflam-75mg3ml-6-ampoules-tzhi"
"ادويتين | 30 مجم | 30 كبسولات","Adwitine | 30 mg | 30 caps","243","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/adwitine-30-mg-30-caps-hdhs-01672584270.png","https://chefaa.com/eg-ar/nowProduct/adwitine-30-mg-30-caps-zc2g"
"افروميد كبسول مكمل غذائي للرجال afromed | ٣٠ كبسولة","Afromed | 30 Caps","195","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/afromed-30-caps-cpgl-01727436986.png","https://chefaa.com/eg-ar/nowProduct/afromed-30-caps-cpgl"
"أجيرا | كريم لحب الشباب | 50جم","Agera | Acne Cream | 50GM","159","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/agera-acne-cream-50gm-xwfu-01721294925.png","https://chefaa.com/eg-ar/nowProduct/agera-acne-cream-50gm-xwfu"
"اجركس | للوقاية من التجلط 75مج | 60 قرص","Aggrex | To Prevent Thrombosis 75mg | 60 Tabs","33","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aggrex-to-prevent-thrombosis-75mg-60tab-l730-01666103385.png","https://chefaa.com/eg-ar/nowProduct/aggrex-to-prevent-thrombosis-75mg-60tab-l730"
"أجيولاكس حبيبات ملين طبيعي | 12 كيس","Agiolax Natural Laxative Granules | 12 Sachets","100","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/agiolax-sachets-01675954686.png","https://chefaa.com/eg-ar/nowProduct/agiolax-sachets"
"البندازول 400 ملجم | 6 أقراص","Albendazole 400mg | 6 Tabs","46","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/albendazol-400mg-6tab-8gb7-01672659848.png","https://chefaa.com/eg-ar/nowProduct/albendazol-400mg-6tab-gx5n"
"ألبوثيل لبوس مهبلي | 90جم | 8 اقماع","Albothyl | 90mg | 8 Vag. Supp","64","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1627823549albothyl-90mg-8-vag-supppng","https://chefaa.com/eg-ar/nowProduct/albothyl-90-mg-8-vag-supp"
"الدوميت لتخفيض ضغط الدم 250مج | 30 قرص","Aldomet To Lower Blood Pressure 250mg | 30 Tabs","111","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aldomet-to-lower-blood-pressure-250mg-30tab-ogs9-01665391800.png","https://chefaa.com/eg-ar/nowProduct/aldomet-to-lower-blood-pressure-250mg-30tab-ogs9"
"اليرجوليبر 10مجم | 20 قرص","Alergoliber 10mg | 20 Tabs","60","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/alergoliber-10-mg-10-tab-lrsw-01667856840.png","https://chefaa.com/eg-ar/nowProduct/alergoliber-10-mg-10-tab-uceh"
"اليرجوليبر 1 مجم / مل شراب | 120 مل","Alergoliber 1Mg / Ml Syrup | 120 Ml","53","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/alergoliber-syrup-120ml-qdql-01672735190.png","https://chefaa.com/eg-ar/nowProduct/alergoliber-syrup-120ml-ikgq"
"اليريد مضاد للحساسية 10مج | 30 قرص","Alerid Anti-allergic 10mg | 30 Tabs","93","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/alerid-anti-allergic-10mg-20tab-qtvf-01665594307.png","https://chefaa.com/eg-ar/nowProduct/alerid-anti-allergic-10mg-20tab-qtvf"
"الجازون | كريم لعلاج الآلام الروماتيزمية | 40جم","Algason | Cream Rheumatic Pain | 40gm","46","https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/algason-rheumatic-pain-40gm-cream-fsst-01721563686.png","https://chefaa.com/eg-ar/nowProduct/algason-rheumatic-pain-40gm-cream-fsst"
